ID,Title,SortTitle,Filed As,CallNum,IsPartOf,Related,issn,eissn,country,provState,cityTown,location,holdingCoverage,contentStart,contentEnd,gaps,pubDate,pubHistoryImage,notesTitle,frequency,localNotes,Column,Column2,First Issue Verbatim Date,First Issue Start Date,First Issue End Date,Last Issue Verbatim Date,Last Issue Start Date,Last Issue End Date
313,Harbour Grace Standard and Conception - Bay Advertiser,Harbour Grace Standard and Conception - Bay Advertiser,Harbour Grace Standard,,314,N,,,CA,NL,Harbour Grace,HIL-MIC,"[Mar 1, 1871 - Mar 3, 1888]",1871-03-01,1888-03-03,Y,"Mar 1, 1871 - Mar 3, 1888",N,,Weekly,,,,"Mar 1, 1871 ",01/03/1871,,"Mar 3, 1888",03/03/1888,
314,The Harbour Grace Standard,Harbour Grace Standard,Harbour Grace Standard,,314,N,,,CA,NL,Harbour Grace,HIL-MIC,"[Mar 10, 1888 - Sept 21, 1934]",1888-03-10,1934-09-21,Y,"Mar 10, 1888 - 1936",N,,Weekly,,,,"Mar 10, 1888 ",10/03/1888,,1936,01/01/1936,12/07/1938
315,Mail and Advocate (Morning Edition),Mail and Advocate (Morning Edition),,HD8101 .F573 reel 2-4,483,N,0844-3300,,CA,NL,St. John's,HIL-MIC,"May 1, 1914 - Dec 31, 1915",1914-05-01,1915-12-31,N,"May 1, 1914 - Dec 30, 1916",N,,Daily,"The Fisherman's Advocate, the Mail and Advocate (Weekly Edition), and the Weekly Advocate are all weekly editions of the daily papers the Daily Mail, the Mail and Advocate and the Evening Advocate. ",,,01-May-14,01/05/1914,,30-Dec-16,30/12/1916,
316,"Confederate (St. Johns, Newfoundland)","Confederate (St. Johns, Newfoundland)",Independent ,,316,N,0832-3909,,CA,NL,St. John's,HIL-MIC,"Apr 7, 1948 - July 16, 1948",1948-04-07,1948-07-16,N,"Apr 7, 1948 - July 16, 1948",N,,Weekly,Filmed along with the Independent. They are separate papers. ,,,07-Apr-48,07/04/1948,,16-Jul-48,16/07/1948,
317,The Independent,Independent ,Independent ,,317,N,0832-3917,,CA,NL,St. John's,HIL-MIC,"Mar 22, 1948 - July 15, 1948",1948-03-22,1948-07-15,N,"Mar 22, 1948 - July 15, 1948",N,,,,,,22-Mar-48,22/03/1948,,15-Jul-48,15/07/1948,
318,"Courier (St. John's, Newfoundland)","Courier (St. John's, Newfoundland)",Courier,,318,N,,,CA,NL,St. John's,HIL-MIC,"Feb 19, 1853 - Dec 31, 1873",1844-10-21,1873-12-31,N,"Feb 19, 1853 - Dec 28, 1878",N,,Semi-weekly,,,,"Feb 19, 1853 ",19/02/1853,,"Dec 28, 1878",28/12/1878,
319,"Daily News (St. John's, Newfoundland)","Daily News (St. John's, Newfoundland)",Daily News,,319,N,0382-0890,,CA,NL,St. John's,HIL-MIC,"Feb 15, 1894 - Dec 31, 1920; Jan 1927 - Dec 31, 1943",1894-02-15,1943-12-31,Y,"Feb 15, 1894 - June 4, 1984",N,,Daily,,,,"Feb 15, 1894 ",15/02/1894,,04-Jun-84,04/06/1984,
320,"Morning Chronicle (St. John's, Newfoundland)",Day Book,Day Book ,,320,N,1181-2206,,CA,NL,St. John's,HIL-MIC,"Aug 30, 1865 - Dec 31, 1873 ",1865-08-30,1873-12-31,N,"Aug 30, 1865 - Dec 31, 1873 ",N,,Tri-weekly,,,,"Aug 30, 1865 ",30/08/1865,,"Dec 31, 1873",31/12/1873,
321,Evening Telegram,Evening Telegram,Evening Telegram,,321,N,0839-4210,,CA,NL,St. John's,HIL-MIC,"Apr 8, 1879 - Dec 31, 1982",1879-04-08,1982-12-31,N,"Apr 3, 1879 - Current",N,,Daily,"Publication suspended Jul. 9 - Aug 31, 1892 ",,,"Apr 3, 1879 ",03/04/1879,,Present,,
322,"Fisherman's Advocate (Coakerville, Newfoundland : 1910)","Fisherman's Advocate (Coakerville, Newfoundland : 1910)",,HD8101 .F573,483,Y,,,CA,NL,Coakerville,HIL-MIC,"Feb 12, 1910 - Mar 19, 1910",1910-02-12,1910-03-19,N,"Feb 12, 1910 - Mar 19, 1910",N,,Weekly,"The Fisherman's Advocate, the Mail and Advocate (Weekly Edition), and the Weekly Advocate are all weekly editions of the daily papers the Daily Mail, the Mail and Advocate and the Evening Advocate. ",,,12-Feb-10,12/02/1910,,19-Mar-10,19/03/1910,
323,Day Book,"Morning Chronicle (St. John's, Newfoundland)",Day Book ,,320,N,,,CA,NL,St. John's,HIL-MIC,"Jan 1, 1862 - Aug 24, 1865 ",1862-01-01,1865-08-24,N,"Jan 1, 1862 - Aug 24, 1865 ",N,,Daily,,,,"Jan 1, 1862 ",01/01/1862,,"Aug 24, 1865",24/08/1865,
324,Morning Courier,Morning Courier,Morning Courier,,318,N,,,CA,NL,St. John's,HIL-MIC,"Oct 21, 1844 - Feb 16, 1853",1844-10-21,1853-02-16,N,"Oct 21, 1844 - Feb 16, 1853",N,,Semi-weekly,,,,"Oct 21, 1844 ",21/10/1844,,"Feb 16, 1853",16/02/1853,
325,Newfoundland Patriot,Newfoundland Patriot,Newfoundland Patriot,,326,N,,,CA,NL,St. John's,HIL-MIC,"Dec 16, 1834 - July 6, 1842 ",1834-12-16,1842-07-06,N,"July 28, 1833 - July 6, 1842 ",N,,Weekly,,,,"July 28, 1833 ",28/07/1833,,"July 6, 1842",06/07/1842,
326,Patriot and Terra-Nova Herald (1877),Patriot and Terra-Nova Herald (1877),Newfoundland Patriot,,326,N,,,CA,NL,St. John's,HIL-MIC,"Feb 12, 1877 - June 30, 1890",1877-02-12,1890-06-30,N,"Feb 12, 1877 - June 30, 1890",N,,Weekly,,,,"Feb 12, 1877 ",12/02/1877,,"June 30, 1890",30/06/1890,
327,Patriot and Catholic Herald,Patriot and Catholic Herald,Newfoundland Patriot,,326,N,,,CA,NL,St. John's,HIL-MIC,"May 28, 1872 - Feb 1, 1877 ",1872-05-28,1877-02-01,N,"May 28, 1872 - Feb 1, 1877 ",N,,"Weekly; Semi-weekly May 15 - Sept 28, 1876",,,,"May 28, 1872 ",28/05/1872,,"Feb 1, 1877",01/02/1877,
328,Patriot and Terra-Nova Catholic Herald,Patriot and Terra-Nova Catholic Herald,Newfoundland Patriot,,326,N,,,CA,NL,St. John's,HIL-MIC,"May 7, 1872 - May 22, 1872 ",1872-05-07,1872-05-22,N,"May 7, 1872 - May 22, 1872 ",N,,Weekly,,,,"May 7, 1872 ",07/05/1872,,"May 22, 1872",22/05/1872,
329,Patriot and Terra-Nova Herald (1842),Patriot and Terra-Nova Herald (1842),Newfoundland Patriot,,326,N,,,CA,NL,St. John's,HIL-MIC,"July 13, 1842 - Apr 22, 1872 ",1842-07-13,1872-04-22,N,"July 13, 1842 - Apr 22, 1872 ",N,,Weekly,,,,"July 13, 1842 ",13/07/1842,,"Apr 22, 1872",22/04/1872,
330,"Citizen (Amherst, Nova Scotia)","Citizen (Amherst, Nova Scotia)",Citizen,,330,N,1194-1022,,CA,NS,Amherst,HIL-MIC,"Oct 31, 1973 - Current",1973-10-31,0000-00-00,N,"Oct 31, 1973 - Current",N,,Weekly,,,,31-Oct-73,31/10/1973,,Present,,
331,Royal Gazette and Newfoundland Advertiser,Royal Gazette and Newfoundland Advertiser,Royal Gazette and Newfoundland Advertiser,,331,N,1204-7295,,CA,NL,St. John's,HIL-MIC,"Apr 19, 1810 - Dec 25, 1900 ",1810-04-19,1900-12-25,N,"Aug 27, 1810 - Dec 25, 1900",N,"Variant titles: Royal Gazette, Newfoundland Royal Gazette",Weekly,,,,"Aug 27, 1810 ",27/08/1810,,25-Dec-00,25/12/1900,
332,St. John's Daily News,St. John's Daily News,St. John's Daily News,,332,N,0839-4180,,CA,NL,St. John's,HIL-MIC,"Nov 11, 1864 - July 21, 1870 ",1864-11-11,1870-07-21,N,"Nov 11, 1864 - July 21, 1870 ",N,,Tri-weekly,,,,"Nov 11, 1864 ",11/11/1864,,"July 21, 1870",21/07/1870,
333,St. John's Daily News and Newfoundland Journal of Commerce,St. John's Daily News and Newfoundland Journal of Commerce,St. John's Daily News,,332,N,0839-4172,,CA,NL,St. John's,HIL-MIC,"Aug 27, 1860 - Nov 9, 1864 ",1860-08-27,1864-11-09,N,"Aug 27, 1860 - Nov 9, 1864 ",N,,Daily,,,,"Aug 27, 1860 ",27/08/1860,,"Nov 9, 1864",09/11/1864,
334,St. John's Daily Star,St. John's Daily Star,St. John's Daily Star ,,334,N,,,CA,NL,St. John's,HIL-MIC,"Apr 17, 1915 - June 30, 1921",1915-04-17,1921-06-30,N,"Apr 17, 1915 - July 23, 1921 ",N,,Daily,,,,17-Apr-15,17/04/1915,,23-Jul-21,23/07/1921,
335,Acadian Recorder (Triweekly Edition),Acadian Recorder (Triweekly Edition),Acadian Recorder ,,357,Y,,,CA,NS,Halifax,HIL-MIC,"Nov 23, 1867 - July 1869",1867-11-23,1869-07-01,N,"Sept 5, 1864 - Mar 1930",N,,Tri-weekly,Weekly and triweekly editions filmed together 1867-1869. ,,,"Sept 5, 1864 ",05/09/1864,,Mar-30,01/03/1930,31/03/1930
336,"Maritime Baptist (Kentville, Nova Scotia : 1927)","Maritime Baptist (Kentville, Nova Scotia : 1927)",Maritime Baptist,,336,N,,,CA,NS,Kentville,HIL-MIC,"Mar 9, 1927 - Dec 23, 1964 ",1927-03-09,1961-07-12,N,"Mar 9, 1927 - July 12, 1961",Y,,Weekly,"The New Brunswick Newspaper Directory indicates that the paper was published Mar. 9, 1927 - Jul. 12, 1961; however, we have it filmed until Dec. 23, 1964.",,,09-Mar-27,09/03/1927,,12-Jul-61,12/07/1961,
337,Times and General Commercial Gazette,Times and General Commercial Gazette,Times (St. John's),,337,N,,,CA,NL,St. John's,HIL-MIC,"Aug 29, 1832 - Mar 23, 1895 ",1832-08-29,1895-03-23,N,"Aug 29, 1832 - Mar 23, 1895 ",N,,Semi-weekly,,,,"Aug 29, 1832 ",29/08/1832,,"Mar 23, 1895",23/03/1895,
338,Amherst Daily News (1914),Amherst Daily News (1914),Amherst Daily News,,340,N,,,CA,NS,Amherst,HIL-MIC,"Mar 12, 1914 - May 31, 1955",1914-03-12,1955-05-31,N,"Mar 12, 1914 - May 31, 1955",Y,,Daily,,,,12-Mar-14,12/03/1914,,31-May-55,31/05/1955,
339,Amherst Daily News and News & Sentinel,Amherst Daily News and News & Sentinel,Amherst Daily News,,340,N,,,CA,NS,Amherst,HIL-MIC,"June 2, 1955 - Nov 3, 1972",1955-06-02,1972-11-03,N,"June 2, 1955 - Nov 3, 1972",Y,,Daily,,,,02-Jun-55,02/06/1955,,03-Nov-72,03/11/1972,
340,Amherst Daily News (1972),Amherst Daily News (1972),Amherst Daily News,,340,N,,,CA,NS,Amherst,HIL-MIC,"Nov 3, 1972 - Aug 1, 2013 ",1972-11-03,2013-08-01,N,"Nov 3, 1972 - Aug 1, 2013 ",Y,,Daily,,,,03-Nov-72,03/11/1972,,01-Aug-13,01/08/2013,
341,"Daily News (Amherst, Nova Scotia)","Daily News (Amherst, Nova Scotia)",Amherst Daily News,,340,N,,,CA,NS,Amherst,HIL-MIC,"Nov 2, 1895 - Mar 11, 1914 ",1895-11-02,1914-03-11,N,"Nov 2, 1895 - Mar 11, 1914 ",Y,,Daily,,,,"Nov 2, 1895 ",02/11/1895,,11-Mar-14,11/03/1914,
342,News and Sentinel,News and Sentinel,News and Sentinel,,340,N,,,CA,NS,Amherst,HIL-MIC,"May 31, 1904 - May 31, 1955",1904-05-31,1955-05-31,N,"May 31, 1904 - May 31, 1955",Y,,Semi-weekly,Numerous errors in numbering of volumes/issues.,,,31-May-04,31/05/1904,,31-May-55,31/05/1955,
343,Annapolis Spectator,Annapolis Spectator,Annapolis Spectator,,343,N,0844-4250,,CA,NS,Annapolis Royal,HIL-MIC,"Aug 27, 1884 - Aug 26, 1915",1884-08-27,1915-08-26,N,"Aug 3, 1882 - Dec 21, 1916",N,,Weekly,,,,"Aug 3, 1882 ",03/08/1882,,21-Dec-16,21/12/1916,
344,"Acadian (Wolfville, Nova Scotia)","Acadian (Wolfville, Nova Scotia)",Acadian,,402,Y,,,CA,NS,Wolfville,HIL-MIC,"Oct 12, 1883 - June 22, 1900; Jan 1, 1904 - Dec 30, 1904; Jan 4, 1907 - Mar 8, 1934",1883-10-12,1934-03-08,Y,"Apr 1883 - Mar 8, 1934",N,"Supplement to the Advertiser (Kentville, Nova Scotia)",Weekly; Monthly Apr - June 1883; Semi-monthly July 1883-Sept 1884,,,,Apr 1883 ,01/04/1883,30/04/1883,08-Mar-34,08/03/1934,
345,Canso Breeze and Guysboro County Advocate,Canso Breeze and Guysboro County Advocate,Canso Breeze ,,347,N,1194-0018,,CA,NS,Canso,HIL-MIC,"Mar 10, 1922 - Oct 27, 1928 ",1922-03-10,1928-10-27,N,"June 1920 - Oct 27, 1928 ",N,,Weekly,,,,Jun-20,01/06/1920,30/06/1920,27-Oct-28,27/10/1928,
346,Canso Breeze and Antigonish-Guysboro Advocate,Canso Breeze and Antigonish-Guysboro Advocate,Canso Breeze ,,347,N,1194-0026,,CA,NS,Truro,HIL-MIC,"Nov 3, 1928 - Jan 21, 1938",1928-11-03,1938-01-21,N,"Nov 3, 1928 - Jan 21, 1938",N,,Weekly,,,,03-Nov-28,03/11/1928,,21-Jan-38,21/01/1938,
347,Guysboro County Advocate and Canso Breeze,Guysboro County Advocate and Canso Breeze,Canso Breeze ,,347,N,0842-1358,,CA,NS,Truro,HIL-MIC,"Jan 28, 1938 - Dec 30, 1949",1938-01-28,1949-12-30,N,"Jan 28, 1938 - Feb 19, 1960",N,,Weekly,,,,28-Jan-38,28/01/1938,,19-Feb-60,19/02/1960,
348,Dartmouth Patriot,Dartmouth Patriot,Dartmouth Patriot,,348,N,,,CA,NS,Dartmouth,HIL-MIC,"Apr 20, 1901 - Dec 1916",1901-04-20,1916-12-01,N,"Apr 20, 1901 - May 15, 1952",N,,Weekly,,,,20-Apr-01,20/04/1901,,15-May-52,15/05/1952,
349,Digby Weekly Courier,Digby Weekly Courier,Digby Weekly Courier,,351,N,,,CA,NS,Digby,HIL-MIC,"[Oct 16, 1874 - Sept 17,1937]",1874-10-16,1937-09-17,N,"Sept 18, 1874 - Sept 17, 1937",N,,Weekly,,,,"Sept 18, 1874 ",18/09/1874,,17-Sep-37,17/09/1937,
350,Digby Record,Digby Record,"Digby Weekly Courier, reel 15",,350,N,,,CA,NS,Digby,HIL-MIC,"Dec 22, 1908 - June 10, 1909",1908-12-22,1909-06-10,N,"Nov 10, 1908 - June 10, 1909",N,,Weekly,,,,10-Nov-08,10/11/1908,,10-Jun-09,10/06/1909,
351,Digby Courier,Digby Courier,Digby Weekly Courier,,351,N,,,CA,NS,Digby,HIL-MIC,"Sept 24,1937 - Dec 30, 1948",1937-09-24,1948-12-30,N,"Sept 24, 1937 - Current",N,,Weekly,,,,24-Sep-37,24/09/1937,,Present,,
352,"Gazette (Glace Bay, Nova Scotia)","Gazette (Glace Bay, Nova Scotia)",,HD8102 .G31,352,N,,,CA,NS,Glace Bay,HIL-MIC,"Sept 21, 1942 - Jan 15, 1949",1942-09-21,1949-01-15,N,"Apr 13, 1936 - Jan 15, 1949",N,,Daily,,,,13-Apr-36,13/04/1936,,15-Jan-49,15/01/1949,
353,Maritime Labour,Maritime Labour,,HD8102 .B62,353,N,,,CA,NS,Glace Bay,HIL-MIC,"Oct 14, 1921 - July 20, 1926",1921-10-14,1926-07-20,N,"Oct 14, 1921 - July 20, 1926",N,,,,,,14-Oct-21,14/10/1921,,20-Jul-26,20/07/1926,
354,Nova Scotia Miner,Nova Scotia Miner,,HD8102 .M31,354,N,,,CA,NS,Glace Bay,HIL-MIC,"Dec 14, 1929 - Jan 23, 1932",1929-12-14,1932-01-23,N,"Dec 14, 1929 - Jan 23, 1932",N,,Weekly,,,,14-Dec-29,14/12/1929,,23-Jan-32,23/01/1932,
355,"Star (Glace Bay, Nova Scotia)","Star (Glace Bay, Nova Scotia)",,HD8102 .G31,355,N,,,CA,NS,Glace Bay,HIL-MIC,"Jan 27, 1949 - May 5, 1949",1949-01-27,1949-05-05,N,"Jan 20, 1949- May 5, 1949",N,,Weekly,,,,20-Jan-49,20/01/1949,,05-May-49,05/05/1949,
356,The Acadian and General Advertiser,Acadian and General Advertiser,The Acadian and General Advertiser,,358,N,,,CA,NS,Halifax,HIL-MIC,"Jan 5, 1827 - Jan 4, 1828",1827-01-05,1828-01-04,N,"Jan 5, 1827 - Jan 4, 1828",N,,Weekly,,,,"Jan 5, 1827 ",05/01/1827,,"Jan 4, 1828",04/01/1828,
357,Acadian Recorder (Weekly Edition),Acadian Recorder (Weekly Edition),Acadian Recorder ,,357,N,1181-3636,,CA,NS,Halifax,HIL-MIC,"Oct 2, 1813 - Dec 15, 1819; Jan 6, 1821 - Dec 27,1823; Nov 18, 1854 - July 1869",1813-10-02,1869-07-01,Y,"Jan 16, 1813 - July 1869",N,,Weekly,Weekly and triweekly editions filmed together 1867-1869. ,,,"Jan 16, 1813 ",16/01/1813,,July 1869,01/07/1869,31/07/1869
358,"The Acadian (Halifax, Nova Scotia)",Acadian ,The Acadian and General Advertiser,,358,N,,,CA,NS,Halifax,HIL-MIC,"Jan 11, 1828 - Dec 25, 1829; Feb 24, 1832 - Mar 8, 1833; Jan 3 - May 9, 1834",1828-01-11,1834-05-09,Y,"Jan 11, 1828 - May 9, 1834",N,"Variant title: The Acadian and General Advertiser, 1832-33",Weekly,,,,"Jan 11, 1828 ",11/01/1828,,"May 9, 1834",09/05/1834,
359,"The British Colonist (Halifax, Nova Scotia : 1855)","British Colonist (Halifax, Nova Scotia : 1855)",British Colonist ,,359,N,,,CA,NS,Halifax,HIL-MIC,"Jan 23, 1855 - Dec 31, 1874",1855-01-23,1874-12-31,N,"Jan 23, 1855 - Dec 31, 1874",N,,Tri-weekly,,,,"Jan 23, 1855 ",23/01/1855,,"Dec 31, 1874",31/12/1874,
360,Christian Herald,Christian Herald,Christian Messenger ,,360,N,,,CA,NS,Halifax,HIL-MIC,"Feb 7, 1840 - July 10, 1840",1840-02-07,1840-07-10,N,"Feb 7, 1840 - July 10, 1840",N,,2x/week,"Filmed toward the end of the reel on The Christian Messenger, 1837-41.",,,"Feb 7, 1840 ",07/02/1840,,"July 10, 1840",10/07/1840,
361,Evening Express (Daily Edition),Evening Express (Daily Edition),Evening Express ,,366,Y,,,CA,NS,Halifax,HIL-MIC,"Jan 2, 1873 - Dec 1874",1873-01-02,1875-03-01,N,"Jan 2, 1873 - Mar 27, 1875",N,,Daily,"The Daily Edition was introduced in Jan. 1873 and the triweekly edition became used for country circulation. The Daily Edition is filmed along with the Triweekly Edition from Jan. 2, 1873 onwards.",,,"Jan 2, 1873 ",02/01/1873,,"Mar 27, 1875",27/03/1875,
362,The Chronicle-Herald,Chronicle-Herald,Halifax Chronicle-Herald,,362,N,0828-1807,,CA,NS,Halifax,HIL-MIC,Jan 1949 - Current,1949-01-01,0000-00-00,N,Jan 1949 - Current,N,Variant title: Halifax Chronicle-Herald,Daily,"Current print copies can be found in HIL-CURREP, first floor, which are kept until the microfilm is received. ",,,Jan-49,01/01/1949,31/01/1949,Present,,
363,"Citizen (Halifax, Nova Scotia : 1919)","Citizen (Halifax, Nova Scotia : 1919)",,HD8102 .C5 ,363,N,,,CA,NS,Halifax,HIL-MIC,1919 - Oct 1950,1919-01-01,1950-10-01,N,,N,,Weekly,"There are two papers entitled the Citizen from Halifax, Nova Scotia; this one is a labour paper, the other a newspaper. ",,,,,,,,
364,"The Citizen (Halifax, Nova Scotia : 1863)","Citizen (Halifax, Nova Scotia : 1863)",Halifax Citizen ,,364,N,,,CA,NS,Halifax,HIL-MIC,"Jan 1871 - Aug 25, 1877",1871-01-01,1877-08-25,N,"Jan 1871 - Aug 25, 1877",N,,Weekly,"There are two papers entitled the Citizen from Halifax, Nova Scotia; this one is a newspapers, the other a labour paper. ",,,Jan 1871 ,01/01/1871,31/01/1871,"Aug 25, 1877",25/08/1877,
365,"Daily Citizen (Halifax, Nova Scotia)","Daily Citizen (Halifax, Nova Scotia)",Halifax Citizen ,,364,N,,,CA,NS,Halifax,HIL-MIC,Jan 1870 - Dec 1870,1870-01-01,1870-12-01,N,Jan 1870 - Dec 1870,N,,Daily,,,,Jan 1870 ,01/01/1870,31/01/1870,Dec 1870,01/12/1870,31/12/1870
366,Evening Express (Triweekly Edition),Evening Express (Triweekly Edition),Evening Express ,,366,N,,,CA,NS,Halifax,HIL-MIC,"Jan 2, 1873 - Dec 31, 1874",1873-01-02,1874-12-31,N,"Jan 2, 1873 - Mar 27, 1875",N,,Tri-weekly,"The Daily Edition was introduced in Jan. 1873 and the triweekly edition became used for country circulation. The Daily Edition is filmed along with the Triweekly Edition from Jan. 2, 1873 onwards.",,,"Jan 2, 1873 ",02/01/1873,,"Mar 27, 1875",27/03/1875,
367,Evening Express and Commercial Herald,Evening Express and Commercial Herald,Evening Express ,,366,N,,,CA,NS,Halifax,HIL-MIC,"Jan 4, 1858 - Oct 11, 1872",1858-01-04,1872-10-11,N,"Jan 4, 1858 - Oct 11, 1872?",N,,Tri-weekly,The Daily Edition was introduced in Jan. 1873 and the triweekly edition became used for country circulation. ,,,"Jan 4, 1858 ",04/01/1858,,"Oct 11, 1872?",11/10/1872,
368,"Free Press (Halifax, Nova Scotia)","Free Press (Halifax, Nova Scotia)",The Free Press,,368,N,1186-5598,,CA,NS,Halifax,HIL-MIC,"Jan 21, 1817 - Dec 30, 1817; [1818]; Jan 3, 1819 - Dec 14, 1819; June 13, 15, 20, 1820; Jan 4, 1821 - Mar 6, 1830; Jan 7, 1834 - Apr 15, 1834",1817-01-21,1834-04-15,Y,"Apr 23, 1816 - Apr 22, 1834",N,,"Weekly; Semi-weekly May 16, 1820 - Aug 30, 1821",Miscellaneous issues from 1817-1834 on reel 4.,,,"Apr 23, 1816 ",23/04/1816,,"Apr 22, 1834",22/04/1834,
369,United Churchman,United Churchmen,"Wesleyan, reel 45",,369,N,,,CA,NB,Sackville,HIL-MIC,"Nov 4 - Dec 30, 1925",1925-11-04,1925-12-30,N,"Nov 4, 1925 - June? 1974 ",Y,"Formed by the union of the Christian Guardian, the Presbyterian Witness the Canadian Congressionalist (none of which are in our collection) and The Wesleyan (Halifax, Nova Scotia).",,,,,04-Nov-25,04/11/1925,,June? 1974,01/06/1974,30/06/1974
370,Halifax Citizen,Halifax Citizen,Halifax Citizen ,,364,N,,,CA,NS,Halifax,HIL-MIC,"Nov 5, 1863 - Dec 1869",1863-11-05,1869-12-01,N,"Nov 5, 1863 - Dec 1869",N,,Tri-weekly,,,,"Nov 5, 1863 ",05/11/1863,,Dec 1869,01/12/1869,31/12/1869
371,Halifax Evening Reporter,Halifax Evening Reporter,Halifax Evening Reporter,,372,N,,,CA,NS,Halifax,HIL-MIC,"Sept 17, 1864 - Nov 26, 1868",1864-09-17,1868-11-26,N,"Sept 17, 1864 - Nov 26, 1868",N,,Tri-weekly,,,,"Sept 17, 1864 ",17/09/1864,,"Nov 26, 1868",26/11/1868,
372,Halifax Evening Reporter and Daily and Tri-weekly Times,Halifax Evening Reporter and daily and tri-weekly times,Halifax Evening Reporter,,372,N,,,CA,NS,Halifax,HIL-MIC,"Nov 28, 1868 - Oct 11, 1879 ",1868-11-28,1879-10-11,N,"Nov 28, 1868 - Oct 11, 1879 ",N,,Daily,,,,"Nov 28, 1868 ",28/11/1868,,"Oct 11, 1879",11/10/1879,
373,Halifax Gazette,Halifax Gazette,Halifax Gazette,,390,N,0830-5676,,CA,NS,Halifax,HIL-MIC,"Mar 23, 1752 - Dec 12, 1765",1752-03-23,1765-12-12,N,"Mar 1752 - Dec 12, 1765",Y,,Weekly,Canada's first newspaper.,,,Mar 1752 ,01/03/1752,31/03/1752,"Dec 12, 1765",12/12/1765,
374,Halifax Gazette or the Weekly Advertiser,Halifax Gazette or the Weekly Advertiser,Halifax Gazette,,390,N,,,CA,NS,Halifax,HIL-MIC,"Dec 19, 1765 - Mar 6, 1766",1765-12-19,1766-03-06,N,"Dec 19, 1765 - July 1766",Y,,Weekly,,,,"Dec 19, 1765 ",19/12/1765,,July 1766,01/07/1766,31/07/1766
375,Halifax Herald,Halifax Herald,Halifax Herald,,362,N,,,CA,NS,Halifax,HIL-MIC,"Jan 2, 1892 - Dec 31, 1948",1892-01-02,1948-12-31,N,"Jan 2, 1892 - Dec 31, 1948",N,"The Halifax Herald merges with the Halifax Chronicle (not in our collection) to form the Halifax Chronicle-Herald (Halifax, Nova Scotia)",Daily,,,,"Jan 2, 1892 ",02/01/1892,,31-Dec-48,31/12/1948,
376,Halifax Journal (1780),Halifax Journal (1780),Halifax Journal,,390,N,,,CA,NS,Halifax,HIL-MIC,"July 5, 1781; Aug 12, 1790; Jan 1, 1795 - Dec 31,1796; [1797 - 1799]",1781-07-05,1838-06-25,Y,"Dec 27, 1780 - 1800",Y,,Weekly,"This paper, published by John Howe Senior, is later picked up John Howe Junior in 1810. Publication of this Halifax Journal (1780) ceased in 1800 when it merged with the Royal Gazette and the Nova Scotia Advertiser to form the Nova Scotia Royal Gazette.",,,"Dec 27, 1780 ",27/12/1780,,1800,01/01/1800,12/07/1802
377,Halifax Morning Sun,Halifax Morning Sun,Sun and Advertiser ,,396,N,,,CA,NS,Halifax,HIL-MIC,"Jan 1, 1862 - Aug 1864",1862-01-01,1864-08-01,N,"July 6, 1857 - Aug 1864",N,,Tri-weekly,,,,"July 6, 1857 ",06/07/1857,,Aug 1864,01/08/1864,31/08/1864
378,Halifax Reporter,Halifax Reporter,Halifax Evening Reporter,,372,N,,,CA,NS,Halifax,HIL-MIC,"Aug 9, 1860 - Sept 15, 1864",1860-08-09,1864-09-15,N,"July 6, 1860 - Sept 15, 1864",N,,Tri-weekly,,,,"July 6, 1860 ",06/07/1860,,"Sept 15, 1864",15/09/1864,
379,Marine Worker,Marine Worker,,HD8101 .L66,379,N,,,CA,NS,Halifax,HIL-MIC,Jan - July 1943,1943-01-01,1943-07-01,N,,N,,Monthly,,,,,,,,,
380,"Maritime Baptist (Saint John, New Brunswick : 1905)","Maritime Baptist (Saint John, New Brunswick : 1905)",Maritime Baptist,,336,N,,,CA,NB,Saint John,HIL-MIC,"Nov 5, 1905 - Sept 1925",1905-11-05,1925-09-01,N,"Nov 5, 1905 - Sept 1925",Y,,Weekly,"Published in Saint John, New Brunswick 1905-1909; Halifax, Nova Scotia 1909-1927; in both Kentville and Windsor, Nova Scotia 1927-1930; and in Wolfville, Nova Scotia 1939-1964. ",,,05-Nov-05,05/11/1905,,Sep-25,01/09/1925,30/09/1925
381,Maritime Grocer and Commercial Review,Maritime Grocer and Commercial Review,Maritime Merchant,,382,N,,,CA,NS,Halifax,HIL-MIC,"Jan 12, 1893 - Feb 6, 1896",1893-01-12,1896-02-06,N,"July 1892 - Feb 6, 1896",N,,,,,,July 1892 ,01/07/1892,31/07/1892,"Feb 6, 1896",06/02/1896,
382,The Maritime Merchant and Commercial Review,Maritime Merchant and Commercial Review,Maritime Merchant,,382,N,,,CA,NS,Halifax,HIL-MIC,"Feb 20, 1896 - Dec 23, 1920 ",1896-02-20,1920-12-23,N,"Feb 20, 1896 - ?",N,,,,,,"Feb 20, 1896 ",20/02/1896,,?,,
383,"Maritime Baptist (Halifax, Nova Scotia : 1925)","Maritime Baptist (Halifax, Nova Scotia : 1925)",Maritime Baptist,,336,N,,,CA,NS,Halifax,HIL-MIC,"Oct 7, 1925 - Mar 2, 1927",1925-10-07,1927-03-02,N,"Oct 7, 1925 - Mar 2, 1927",Y,,Weekly,,,,07-Oct-25,07/10/1925,,02-Mar-27,02/03/1927,
